"Disaster.Number","State","Declaration.Date","Disaster.Close.Out.Date","Title","Disaster.Type","Incident.Type","Incident.Begin.Date","Incident.End.Date","DeclYear"
2883,"OK","4/6/2011","3/25/2015","JONES SPENCER FIRE ","FM","Fire","4/6/2011","4/9/2011",2011
1966,"WI","4/5/2011","","SEVERE WINTER STORM AND SNOWSTORM","DR","Snow","1/31/2011","2/3/2011",2011
2882,"TX","4/5/2011","12/16/2014","EL CENIZO FIRE","FM","Fire","4/4/2011","4/8/2011",2011
2881,"TX","4/3/2011","","BATES FIELD FIRE","FM","Fire","4/3/2011","4/6/2011",2011
2880,"NM","4/3/2011","7/8/2013","WHITE FIRE ","FM","Fire","4/3/2011","4/20/2011",2011
2879,"OK","4/3/2011","1/29/2015","GUYMON FIRE ","FM","Fire","4/3/2011","4/5/2011",2011
2878,"KS","4/3/2011","5/21/2012","HASKELL COUNTY FIRE","FM","Fire","4/3/2011","4/4/2011",2011
2877,"CO","4/3/2011","11/7/2014","CRYSTAL FIRE","FM","Fire","4/3/2011","4/11/2011",2011
1965,"TN","3/31/2011","","SEVERE STORMS, TORNADOES, AND FLOODING","DR","Severe Storm(s)","2/28/2011","3/1/2011",2011
1964,"OR","3/25/2011","","TSUNAMI WAVE SURGE","DR","Tsunami","3/11/2011","3/11/2011",2011
1963,"WA","3/25/2011","","SEVERE WINTER STORM, FLOODING, LANDSLIDES, AND MUDSLIDES","DR","Severe Storm(s)","1/11/2011","1/21/2011",2011
2875,"GA","3/25/2011","","ELAN CHURCH ROAD FIRE","FM","Fire","3/25/2011","4/25/2011",2011
2876,"GA","3/25/2011","","MOSLEY ROAD FIRE","FM","Fire","3/24/2011","",2011
1962,"NM","3/24/2011","","SEVERE WINTER STORM AND EXTREME COLD TEMPERATURES","DR","Severe Storm(s)","2/1/2011","2/5/2011",2011
2874,"OK","3/24/2011","1/29/2015","OSAGE COUNTY FIRE COMPLEX","FM","Fire","3/24/2011","3/27/2011",2011
1961,"MO","3/23/2011","","SEVERE WINTER STORM AND SNOWSTORM","DR","Severe Storm(s)","1/31/2011","2/5/2011",2011
2873,"CO","3/21/2011","8/14/2013","INDIAN GULCH FIRE","FM","Fire","3/21/2011","3/26/2011",2011
1960,"IL","3/17/2011","","SEVERE WINTER STORM AND SNOWSTORM","DR","Snow","1/31/2011","2/3/2011",2011
2872,"OK","3/12/2011","1/29/2015","SHAWNEE FIRE","FM","Fire","3/12/2011","3/15/2011",2011
2871,"OK","3/12/2011","1/29/2015","GOLDSBY FIRE","FM","Fire","3/12/2011","3/15/2011",2011
2870,"TX","3/12/2011","12/16/2014","BIG TRICKLE RANCH FIRE","FM","Fire","3/11/2011","3/17/2011",2011
2869,"OK","3/11/2011","1/29/2015","MIDWEST CITY FIRE COMPLEX","FM","Fire","3/11/2011","3/14/2011",2011
2868,"OK","3/11/2011","3/25/2015","HARRAH FIRE","FM","Fire","3/11/2011","3/14/2011",2011
2867,"TX","3/11/2011","4/6/2015","ENMIN FIRE","FM","Fire","3/11/2011","3/17/2011",2011
2866,"NM","3/8/2011","4/22/2014","QUAIL RIDGE FIRE","FM","Fire","3/7/2011","3/11/2011",2011
1959,"MA","3/7/2011","","SEVERE WINTER STORM AND SNOWSTORM","DR","Snow","1/11/2011","1/12/2011",2011
1958,"CT","3/3/2011","","SNOWSTORM","DR","Snow","1/11/2011","1/12/2011",2011
2865,"TX","2/28/2011","2/4/2014","MITCHELL FIRE COMPLEX","FM","Fire","2/27/2011","",2011
2864,"TX","2/27/2011","2/4/2014","TANGLEWOOD FIRE COMPLEX","FM","Fire","2/27/2011","",2011
2863,"TX","2/27/2011","2/4/2014","MATADOR FIRE","FM","Fire","2/27/2011","",2011
2862,"TX","2/27/2011","2/4/2014","WILLOW CREEK SOUTH FIRE COMPLEX","FM","Fire","2/27/2011","",2011
2860,"VA","2/20/2011","8/31/2011","SMITH FIRE","FM","Fire","2/19/2011","",2011
2861,"VA","2/20/2011","8/31/2011","COFFMAN FIRE","FM","Fire","2/19/2011","",2011
1957,"NY","2/18/2011","","SEVERE WINTER STORM AND SNOWSTORM","DR","Severe Storm(s)","12/26/2010","12/27/2010",2011
1956,"OR","2/17/2011","","SEVERE WINTER STORM, FLOODING, MUDSLIDES, LANDSLIDES, AND DEBRIS FLOWS","DR","Severe Storm(s)","1/13/2011","1/21/2011",2011
1955,"UT","2/11/2011","","SEVERE WINTER STORM AND FLOODING","DR","Flood","12/20/2010","12/24/2010",2011
1954,"NJ","2/4/2011","","SEVERE WINTER STORM AND SNOWSTORM","DR","Snow","12/26/2010","12/27/2010",2011
3317,"MO","2/3/2011","1/6/2012","SEVERE WINTER STORM","EM","Severe Storm(s)","1/31/2011","2/5/2011",2011
3316,"OK","2/2/2011","2/14/2014","SEVERE WINTER STORM","EM","Severe Storm(s)","1/31/2011","2/5/2011",2011
1953,"ME","2/1/2011","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","12/12/2010","12/19/2010",2011
1952,"CA","1/26/2011","","SEVERE WINTER STORMS, FLOODING, AND DEBRIS AND MUD FLOWS","DR","Flood","12/17/2010","1/4/2011",2011
1951,"VT","12/22/2010","","SEVERE STORM","DR","Severe Storm(s)","12/1/2010","12/5/2010",2010
1950,"AZ","12/21/2010","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","10/3/2010","10/6/2010",2010
1949,"VI","11/24/2010","","SEVERE STORMS, FLOODING, ROCKSLIDES, AND MUDSLIDES ASSOC. WITH TS TOMAS","DR","Severe Storm(s)","11/8/2010","11/12/2010",2010
1948,"VI","11/5/2010","","SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES","DR","Severe Storm(s)","10/1/2010","10/8/2010",2010
1947,"SD","11/2/2010","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","9/22/2010","9/23/2010",2010
1946,"PR","10/26/2010","","SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES ASSOC W TS OTTO","DR","Severe Storm(s)","10/4/2010","10/8/2010",2010
1945,"NE","10/21/2010","6/9/2015","SEVERE STORMS, FLOODING, TORNADO, AND STRAIGHT-LIN","DR","Severe Storm(s)","9/13/2010","9/14/2010",2010
1944,"WI","10/21/2010","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","9/22/2010","10/9/2010",2010
1943,"NY","10/14/2010","","SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS","DR","Tornado","9/16/2010","9/16/2010",2010
1942,"NC","10/14/2010","","SEVERE STORMS, FLOODING, AND STRAIGHT-LINE WINDS ","DR","Severe Storm(s)","9/27/2010","10/1/2010",2010
1941,"MN","10/13/2010","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","9/22/2010","10/14/2010",2010
1940,"AZ","10/4/2010","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","7/20/2010","8/7/2010",2010
1939,"VI","9/28/2010","","HURRICANE EARL","DR","Hurricane","8/29/2010","8/31/2010",2010
1938,"SD","9/23/2010","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","7/21/2010","7/30/2010",2010
2859,"UT","9/19/2010","9/6/2012","MACHINE GUN FIRE ","FM","Fire","9/19/2010","",2010
2858,"CA","9/15/2010","11/27/2012","CANYON FIRE","FM","Fire","9/14/2010","9/20/2010",2010
1937,"TN","9/15/2010","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","8/17/2010","8/21/2010",2010
1936,"NM","9/13/2010","","SEVERE STORMS AND FLOODING","DR","Flood","7/25/2010","8/9/2010",2010
2857,"CO","9/12/2010","11/23/2012","RESERVOIR ROAD FIRE","FM","Fire","9/12/2010","9/17/2010",2010
2856,"CA","9/10/2010","11/27/2012","GLENVIEW FIRE","FM","Fire","9/9/2010","9/11/2010",2010
2855,"CO","9/6/2010","8/7/2012","FOUR MILE CANYON FIRE","FM","Fire","9/6/2010","9/17/2010",2010
3315,"MA","9/2/2010","3/27/2013","HURRICANE EARL","EM","Hurricane","9/1/2010","9/4/2010",2010
3314,"NC","9/1/2010","9/30/2014","HURRICANE EARL","EM","Hurricane","9/1/2010","9/4/2010",2010
2854,"WA","8/27/2010","6/12/2012","SLIDE CREEK WILDFIRE","FM","Fire","8/26/2010","8/31/2010",2010
2853,"ID","8/26/2010","6/12/2012","HURD FIRE","FM","Fire","8/26/2010","9/3/2010",2010
2852,"CA","8/24/2010","11/27/2012","POST FIRE","FM","Fire","8/24/2010","8/29/2010",2010
1935,"IL","8/19/2010","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","7/19/2010","8/7/2010",2010
1934,"MO","8/17/2010","8/13/2015","SEVERE STORMS, FLOODING, AND TORNADOES","DR","Severe Storm(s)","6/12/2010","7/31/2010",2010
1933,"WI","8/11/2010","","SEVERE STORMS, TORNADOES, AND FLOODING","DR","Severe Storm(s)","7/20/2010","7/24/2010",2010
1932,"KS","8/10/2010","","SEVERE STORMS, FLOODING, AND TORNADOES","DR","Severe Storm(s)","6/7/2010","7/21/2010",2010
1931,"TX","8/3/2010","","HURRICANE ALEX","DR","Hurricane","6/30/2010","8/14/2010",2010
2851,"CA","7/30/2010","","CROWN FIRE","FM","Fire","7/29/2010","8/3/2010",2010
1930,"IA","7/29/2010","","SEVERE STORMS, FLOODING, AND TORNADOES","DR","Severe Storm(s)","6/1/2010","8/31/2010",2010
1929,"SD","7/29/2010","3/30/2015","SEVERE STORMS, TORNADOES, AND FLOODING","DR","Severe Storm(s)","6/16/2010","6/24/2010",2010
2850,"CA","7/28/2010","11/27/2012","WEST FIRE","FM","Fire","7/27/2010","8/2/2010",2010
1928,"IA","7/27/2010","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","5/12/2010","5/13/2010",2010
1927,"ID","7/27/2010","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","6/2/2010","6/10/2010",2010
2849,"CA","7/27/2010","11/27/2012","BULL FIRE","FM","Fire","7/26/2010","7/30/2010",2010
1926,"OK","7/26/2010","","SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING","DR","Severe Storm(s)","6/13/2010","6/15/2010",2010
1925,"KY","7/23/2010","","SEVERE STORMS, FLOODING, AND MUDSLIDES","DR","Severe Storm(s)","7/17/2010","7/30/2010",2010
2848,"WA","7/19/2010","8/28/2013","COWICHE MILLS FIRE","FM","Fire","7/18/2010","7/21/2010",2010
1924,"NE","7/15/2010","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","6/1/2010","8/29/2010",2010
1923,"WY","7/14/2010","","FLOODING","DR","Flood","6/4/2010","6/18/2010",2010
1922,"MT","7/10/2010","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","6/15/2010","7/30/2010",2010
1921,"MN","7/2/2010","","SEVERE STORMS, TORNADOES, AND FLOODING","DR","Tornado","6/17/2010","6/26/2010",2010
2847,"NV","7/1/2010","5/3/2011","CATHEDRAL FIRE","FM","Fire","7/1/2010","7/6/2010",2010
1920,"ME","7/1/2010","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","3/12/2010","4/1/2010",2010
3313,"TX","6/29/2010","10/4/2012","TROPICAL STORM ALEX","EM","Hurricane","6/27/2010","8/14/2010",2010
1919,"PR","6/24/2010","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","5/26/2010","5/31/2010",2010
1918,"WV","6/24/2010","","SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES","DR","Flood","6/12/2010","6/29/2010",2010
2846,"AZ","6/20/2010","11/17/2011","SHULTZ FIRE","FM","Fire","6/20/2010","6/26/2010",2010
2845,"AZ","6/19/2010","","HARDY FIRE","FM","Fire","6/19/2010","6/30/2010",2010
2844,"HI","6/9/2010","1/8/2013","MAALAEA FIRE","FM","Fire","6/8/2010","6/13/2010",2010
2843,"NM","6/2/2010","3/20/2012","RIO FIRE","FM","Fire","6/1/2010","",2010
1917,"OK","5/24/2010","","SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS","DR","Severe Storm(s)","5/10/2010","5/13/2010",2010
2842,"NM","5/24/2010","3/20/2012","CABAZON FIRE","FM","Fire","5/23/2010","",2010
1916,"MS","5/14/2010","","SEVERE STORMS, TORNADOES, AND FLOODING","DR","Severe Storm(s)","5/1/2010","5/2/2010",2010
1915,"SD","5/13/2010","","FLOODING ","DR","Flood","3/10/2010","6/20/2010",2010
1914,"SD","5/13/2010","","SEVERE WINTER STORM","DR","Severe Storm(s)","4/2/2010","4/2/2010",2010
1913,"NH","5/12/2010","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","3/14/2010","3/31/2010",2010
1912,"KY","5/11/2010","","SEVERE STORMS, FLOODING, MUDSLIDES, AND TORNADOES","DR","Severe Storm(s)","5/1/2010","6/1/2010",2010
1911,"CA","5/7/2010","","EARTHQUAKE","DR","Earthquake","4/4/2010","7/4/2010",2010
1910,"MD","5/6/2010","","SEVERE WINTER STORMS AND SNOWSTORMS","DR","Snow","2/5/2010","2/11/2010",2010
1909,"TN","5/4/2010","","SEVERE STORMS, FLOODING, STRAIGHT-LINE WINDS, AND TORNADOES ","DR","Severe Storm(s)","4/30/2010","5/18/2010",2010
1908,"AL","5/3/2010","","SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING","DR","Severe Storm(s)","4/24/2010","4/25/2010",2010
3312,"MA","5/3/2010","11/6/2012","WATER MAIN BREAK","EM","Other","5/1/2010","5/5/2010",2010
1907,"ND","4/30/2010","","FLOODING","DR","Flood","2/26/2010","7/15/2010",2010
1906,"MS","4/29/2010","","SEVERE STORMS, TORNADOES, AND FLOODING","DR","Severe Storm(s)","4/23/2010","4/24/2010",2010
1905,"VA","4/27/2010","","SEVERE WINTER STORMS AND SNOWSTORMS","DR","Snow","2/5/2010","2/11/2010",2010
1904,"CT","4/23/2010","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","3/12/2010","5/17/2010",2010
1903,"WV","4/23/2010","","SEVERE WINTER STORMS AND SNOWSTORMS","DR","Snow","2/5/2010","2/11/2010",2010
1902,"NE","4/21/2010","4/13/2015","SEVERE STORMS, ICE JAMS, AND FLOODING","DR","Flood","3/6/2010","4/3/2010",2010
1901,"ND","4/21/2010","","SEVERE WINTER STORM","DR","Severe Storm(s)","4/1/2010","4/3/2010",2010
1900,"MN","4/19/2010","","FLOODING","DR","Flood","3/1/2010","4/26/2010",2010
1899,"NY","4/16/2010","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","3/13/2010","3/31/2010",2010
1898,"PA","4/16/2010","","SEVERE WINTER STORMS AND SNOWSTORMS","DR","Snow","2/5/2010","2/11/2010",2010
1897,"NJ","4/2/2010","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","3/12/2010","4/15/2010",2010
1896,"DE","3/31/2010","1/8/2014","SEVERE WINTER STORMS AND SNOWSTORMS","DR","Snow","2/5/2010","2/11/2010",2010
3311,"RI","3/30/2010","4/2/2013","SEVERE STORMS AND FLOODING","EM","Severe Storm(s)","3/12/2010","4/12/2010",2010
1895,"MA","3/29/2010","","SEVERE STORMS AND  FLOODING","DR","Severe Storm(s)","3/12/2010","4/26/2010",2010
1894,"RI","3/29/2010","","SEVERE STORMS AND  FLOODING","DR","Severe Storm(s)","3/12/2010","4/12/2010",2010
1892,"NH","3/29/2010","","SEVERE WINTER STORM","DR","Severe Storm(s)","2/23/2010","3/3/2010",2010
1893,"WV","3/29/2010","","SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES","DR","Severe Storm(s)","3/12/2010","4/9/2010",2010
1891,"ME","3/25/2010","","SEVERE WINTER STORM","DR","Severe Storm(s)","2/23/2010","3/2/2010",2010
1890,"DC","3/24/2010","10/3/2012","SEVERE WINTER STORMS AND SNOWSTORMS","DR","Severe Storm(s)","2/5/2010","2/11/2010",2010
1889,"NJ","3/23/2010","","SEVERE WINTER STORM AND SNOWSTORM","DR","Snow","2/5/2010","2/6/2010",2010
3310,"MN","3/19/2010","3/22/2012","FLOODING","EM","Flood","3/1/2010","4/26/2010",2010
1888,"AZ","3/18/2010","","SEVERE WINTER STORMS AND FLOODING","DR","Severe Storm(s)","1/18/2010","1/22/2010",2010
3309,"ND","3/14/2010","11/19/2013","FLOODING","EM","Flood","2/26/2010","4/30/2010",2010
1887,"SD","3/10/2010","","SEVERE WINTER STORM","DR","Severe Storm(s)","1/20/2010","1/26/2010",2010
1886,"SD","3/9/2010","5/14/2015","SEVERE WINTER STORM AND SNOWSTORM","DR","Severe Storm(s)","12/23/2009","12/27/2009",2010
1885,"KS","3/9/2010","","SEVERE WINTER STORMS AND SNOWSTORM","DR","Severe Storm(s)","12/22/2009","1/8/2010",2010
1884,"CA","3/8/2010","","SEVERE WINTER STORMS, FLOODING, AND DEBRIS AND MUD FLOWS","DR","Severe Storm(s)","1/17/2010","2/6/2010",2010
1883,"OK","3/5/2010","","SEVERE WINTER STORM","DR","Severe Ice Storm","1/28/2010","1/30/2010",2010
1882,"DC","3/3/2010","5/30/2012","SEVERE WINTER STORM AND SNOWSTORM","DR","Snow","12/18/2009","12/20/2009",2010
1880,"IA","3/2/2010","","SEVERE WINTER STORM","DR","Severe Storm(s)","1/19/2010","1/26/2010",2010
1881,"WV","3/2/2010","8/12/2015","SEVERE WINTER STORM AND SNOWSTORM","DR","Snow","12/18/2009","12/20/2009",2010
1879,"ND","2/26/2010","","SEVERE WINTER STORM","DR","Severe Storm(s)","1/20/2010","1/25/2010",2010
1877,"IA","2/25/2010","3/9/2015","SEVERE WINTER STORMS AND SNOWSTORM","DR","Severe Storm(s)","12/23/2009","12/27/2009",2010
1878,"NE","2/25/2010","8/26/2014","SEVERE WINTER STORMS AND SNOWSTORM","DR","Severe Storm(s)","12/22/2009","1/8/2010",2010
1876,"OK","2/25/2010","","SEVERE WINTER STORM","DR","Severe Storm(s)","12/24/2009","12/25/2009",2010
1875,"MD","2/19/2010","","SEVERE WINTER STORM AND SNOWSTORM","DR","Snow","12/18/2009","12/20/2009",2010
1874,"VA","2/16/2010","","SEVERE WINTER STORM AND SNOWSTORM","DR","Snow","12/18/2009","12/20/2009",2010
1873,"NJ","2/5/2010","","SNOWSTORM","DR","Snow","12/19/2009","12/20/2009",2010
1872,"AR","2/4/2010","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","12/23/2009","1/2/2010",2010
1871,"NC","2/2/2010","","SEVERE WINTER STORMS AND FLOODING","DR","Severe Storm(s)","12/18/2009","12/25/2009",2010
3308,"OK","1/30/2010","10/18/2012","SEVERE WINTER STORM","EM","Severe Storm(s)","1/28/2010","1/30/2010",2010
3307,"AZ","1/24/2010","3/8/2012","SEVERE WINTER STORM","EM","Severe Storm(s)","1/20/2010","1/29/2010",2010
1869,"NY","12/31/2009","","SEVERE STORMS AND FLOODING ASSOC W TD IDA & NOR'EASTER","DR","Severe Storm(s)","11/12/2009","11/14/2009",2009
1870,"AL","12/31/2009","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","12/12/2009","12/18/2009",2009
1868,"KS","12/23/2009","","SEVERE WINTER STORM","DR","Severe Storm(s)","11/14/2009","11/16/2009",2009
1866,"AL","12/22/2009","","TROPICAL STORM IDA","DR","Hurricane","11/9/2009","11/10/2009",2009
1867,"NJ","12/22/2009","","SEVERE STORMS AND FLOODING ASSOCIATED WITH TROPICAL DEPRESSION IDA AND A NOR'EAS","DR","Severe Storm(s)","11/11/2009","11/15/2009",2009
1865,"AK","12/18/2009","","SEVERE STORMS, FLOODING, MUDSLIDES, AND ROCKSLIDES","DR","Severe Storm(s)","10/6/2009","10/11/2009",2009
1864,"NE","12/16/2009","4/13/2015","SEVERE WINTER STORM","DR","Severe Storm(s)","11/16/2009","11/17/2009",2009
1863,"LA","12/10/2009","","SEVERE STORMS, TORNADOES, AND FLOODING","DR","Severe Storm(s)","10/29/2009","11/3/2009",2009
1862,"VA","12/9/2009","","SEVERE STORMS AND FLOODING ASSOCIATED WITH TROPICAL DEPRESSION IDA AND A NOR'EAST","DR","Severe Storm(s)","11/11/2009","11/16/2009",2009
1861,"AR","12/3/2009","","SEVERE STORMS, TORNADOES, AND FLOODING","DR","Severe Storm(s)","10/29/2009","11/8/2009",2009
3306,"PR","10/24/2009","","EXPLOSIONS AND FIRE ","EM","Fire","10/23/2009","10/26/2009",2009
2841,"CA","10/4/2009","10/7/2011","SHEEP FIRE","FM","Fire","10/3/2009","10/9/2009",2009
2840,"AZ","10/3/2009","11/18/2010","TWIN FIRE","FM","Fire","10/2/2009","10/8/2009",2009
1860,"KS","9/30/2009","12/11/2014","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","7/8/2009","7/14/2009",2009
1859,"AS","9/29/2009","","EARTHQUAKE,TSUNAMI, AND FLOODING","DR","Earthquake","9/29/2009","10/6/2009",2009
1858,"GA","9/24/2009","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","9/18/2009","10/8/2009",2009
2839,"CA","9/22/2009","10/7/2011","GUIBERSON FIRE","FM","Fire","9/22/2009","9/29/2009",2009
2838,"OR","9/22/2009","6/4/2012","SOUTH COUNTY FIRE COMPLEX","FM","Fire","9/21/2009","9/24/2009",2009
2837,"MT","9/4/2009","1/22/2015","EAGLE MOUNT FIRE","FM","Fire","9/3/2009","9/5/2009",2009
1857,"NY","9/1/2009","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","8/8/2009","8/10/2009",2009
2836,"CA","9/1/2009","9/29/2011","PENDLETON FIRE","FM","Fire","8/31/2009","9/5/2009",2009
2835,"AZ","8/31/2009","5/9/2011","WATER WHEEL FIRE","FM","Fire","8/30/2009","9/5/2009",2009
2834,"HI","8/31/2009","6/5/2012","KAUNAKAKAI FIRE","FM","Fire","8/29/2009","9/7/2009",2009
2833,"CA","8/31/2009","9/29/2011","OAK GLEN FIRE","FM","Fire","8/30/2009","9/8/2009",2009
2832,"CA","8/31/2009","10/7/2011","49 FIRE","FM","Fire","8/30/2009","9/4/2009",2009
2831,"UT","8/30/2009","1/19/2011","MILL FLAT FIRE","FM","Fire","7/25/2009","",2009
2830,"CA","8/28/2009","10/6/2011","STATION FIRE","FM","Fire","8/27/2009","9/25/2009",2009
2829,"OR","8/28/2009","5/30/2012","MICROWAVE FIRE","FM","Fire","8/28/2009","9/1/2009",2009
2828,"CA","8/28/2009","10/6/2011","PV FIRE ","FM","Fire","8/27/2009","8/29/2009",2009
2827,"WA","8/22/2009","5/16/2011","DRY CREEK FIRE COMPLEX ","FM","Fire","8/21/2009","8/25/2009",2009
2826,"WA","8/22/2009","5/16/2011","ODEN ROAD FIRE","FM","Fire","8/21/2009","8/26/2009",2009
1856,"TN","8/21/2009","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","7/15/2009","7/17/2009",2009
2825,"CA","8/15/2009","9/29/2011","YUBA FIRE","FM","Fire","8/14/2009","8/21/2009",2009
1855,"KY","8/14/2009","","SEVERE STORMS, STRAIGHT-LINE WINDS AND FLOODING","DR","Severe Storm(s)","8/4/2009","8/4/2009",2009
1854,"IA","8/13/2009","9/21/2015","SEVERE STORM","DR","Severe Storm(s)","7/10/2009","7/10/2009",2009
2824,"CA","8/13/2009","9/29/2011","LOCKHEED FIRE","FM","Fire","8/12/2009","8/23/2009",2009
1853,"NE","7/31/2009","","SEVERE STORMS, FLOODING, AND TORNADOES","DR","Severe Storm(s)","6/5/2009","6/26/2009",2009
1852,"ME","7/30/2009","","SEVERE STORMS, FLOODING, AND LANDSLIDES","DR","Severe Storm(s)","6/18/2009","7/8/2009",2009
2823,"WA","7/29/2009","5/16/2011","UNION VALLEY FIRE","FM","Fire","7/28/2009","8/2/2009",2009
2822,"NV","7/17/2009","5/3/2011","RED ROCK FIRE","FM","Fire","7/15/2009","7/20/2009",2009
1851,"TN","7/13/2009","","SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING","DR","Severe Storm(s)","6/12/2009","6/14/2009",2009
1850,"IL","7/2/2009","","SEVERE STORMS, FLOODING, AND TORNADOES","DR","Severe Storm(s)","5/8/2009","5/9/2009",2009
1849,"KS","6/25/2009","6/23/2015","SEVERE STORMS, FLOODING, STRAIGHT-LINE WINDS, AND TORNADOES","DR","Severe Storm(s)","4/25/2009","5/16/2009",2009
1848,"KS","6/24/2009","","SEVERE WINTER STORM AND RECORD AND NEAR RECORD SNOW","DR","Severe Storm(s)","3/26/2009","3/29/2009",2009
3305,"OK","6/23/2009","5/22/2013","RECORD SNOW AND NEAR RECORD SNOW","EM","Snow","3/27/2009","3/28/2009",2009
1846,"OK","6/19/2009","","WILDFIRES","DR","Fire","4/9/2009","4/12/2009",2009
1847,"MO","6/19/2009","9/16/2015","SEVERE STORMS, TORNADOES, AND FLOODING","DR","Severe Storm(s)","5/8/2009","5/16/2009",2009
1844,"SD","6/16/2009","3/30/2015","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","3/11/2009","7/6/2009",2009
1845,"AR","6/16/2009","","SEVERE STORMS, TORNADOES, AND FLOODING","DR","Severe Storm(s)","4/27/2009","5/23/2009",2009
1843,"AK","6/11/2009","","FLOODING AND ICE JAMS","DR","Flood","4/28/2009","5/31/2009",2009
1842,"AL","6/3/2009","","SEVERE STORMS, TORNADOES, FLOODING, AND STRAIGHT-LINE WINDS","DR","Severe Storm(s)","5/6/2009","5/8/2009",2009
1841,"KY","5/29/2009","","SEVERE STORMS, TORNADOES, FLOODING AND MUDSLIDES","DR","Severe Storm(s)","5/3/2009","5/20/2009",2009
1840,"FL","5/27/2009","","SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS","DR","Severe Storm(s)","5/17/2009","5/28/2009",2009
2821,"AZ","5/18/2009","5/9/2011","MULE PASS FIRE","FM","Fire","5/18/2009","5/20/2009",2009
1839,"TN","5/15/2009","","SEVERE STORMS, TORNADOES, AND FLOODING","DR","Severe Storm(s)","4/10/2009","4/10/2009",2009
1838,"WV","5/15/2009","","SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES","DR","Severe Storm(s)","5/3/2009","6/8/2009",2009
2820,"AK","5/14/2009","11/1/2011","MILE 17 EAST END ROAD FIRE","FM","Fire","5/12/2009","5/20/2009",2009
1837,"MS","5/12/2009","","SEVERE STORMS, FLOODING, AND TORNADOES","DR","Severe Storm(s)","3/25/2009","3/28/2009",2009
2819,"FL","5/12/2009","12/17/2012","MARTIN COUNTY FIRE COMPLEX","FM","Fire","5/11/2009","",2009
1836,"AL","5/8/2009","","SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS","DR","Severe Storm(s)","4/10/2009","4/13/2009",2009
2818,"NM","5/7/2009","2/6/2012","BUCKWOOD FIRE","FM","Fire","5/6/2009","5/14/2009",2009
2817,"CA","5/6/2009","9/29/2011","JESUSITA FIRE","FM","Fire","5/5/2009","5/22/2009",2009
1835,"AL","4/28/2009","","SEVERE STORMS, FLOODING, TORNADOES & STRAIGHT-LINE","DR","Severe Storm(s)","3/25/2009","4/3/2009",2009
1834,"AR","4/27/2009","","SEVERE STORMS AND TORNADOES","DR","Tornado","4/9/2009","4/9/2009",2009
2816,"SC","4/23/2009","","HIGHWAY 31 FIRE","FM","Fire","4/23/2009","",2009
1833,"GA","4/23/2009","","SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS","DR","Severe Storm(s)","3/26/2009","4/13/2009",2009
1832,"IN","4/22/2009","","SEVERE STORMS, TORNADOES, AND FLOODING","DR","Severe Storm(s)","3/8/2009","3/14/2009",2009
1831,"FL","4/21/2009","","SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS","DR","Severe Storm(s)","3/26/2009","5/5/2009",2009
